"Series Key",ELEC.GEN.COW-US-99.M,"Series Key",ELEC.GEN.NG-US-99.M,"Series Key",ELEC.GEN.NUC-US-99.M,"Series Key",ELEC.GEN.HYC-US-99.M,"Series Key",ELEC.GEN.WND-US-99.M
"Series Name","Net generation : coal : United States : all sectors : monthly","Series Name","Net generation : natural gas : United States : all sectors : monthly","Series Name","Net generation : nuclear : United States : all sectors : monthly","Series Name","Net generation : conventional hydroelectric : United States : all sectors : monthly","Series Name","Net generation : wind : United States : all sectors : monthly"
Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours"
Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M
"Start Date",200101,"Start Date",200101,"Start Date",200101,"Start Date",200101,"Start Date",200101
"End Date",202009,"End Date",202009,"End Date",202009,"End Date",202009,"End Date",202009
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

200908,163260.48308,200908,109239.55406,200908,72244.597,200908,19580.41655,200908,5464.47362
200907,158233.86912,200907,101893.83251,200907,72948.979,200907,23384.74817,200907,4954.94132
200906,148086.77111,200906,84205.18154,200906,69734.736,200906,29233.39456,200906,5599.42191
200905,131673.05752,200905,68145.64662,200905,65395.452,200905,29559.65512,200905,6261.9611
200904,125934.97312,200904,61158.67362,200904,59408.407,200904,25769.8074,200904,7457.69602
200903,135530.3278,200903,68202.74331,200903,67240.567,200903,21827.45353,200903,7099.06292
200902,140915.78476,200902,62138.85332,200902,64227.211,200902,17812.03175,200902,5852.17501
200901,171925.15034,200901,66390.11321,200901,74102.489,200901,23490.29569,200901,5950.82465
200812,167785.73046,200812,64363.64603,200812,72931.328,200812,20861.49062,200812,6615.89854
200811,154281.19798,200811,61454.19852,200811,63408.145,200811,15667.93401,200811,4993.64564
200810,151840.71519,200810,73283.33855,200810,62820.353,200810,15469.94246,200810,4756.40094
200809,161356.34732,200809,79136.02998,200809,67053.867,200809,16178.19232,200809,3111.45182
200808,180576.49295,200808,99673.49348,200808,72617.066,200808,21229.2774,200808,3264.40615
200807,186733.45633,200807,100320.87805,200807,74318.27,200807,25555.08636,200807,4008.40059
200806,171043.27903,200806,84619.97663,200806,70319.366,200806,29177.42712,200806,5140.3764
200805,154915.90135,200805,62270.44712,200805,64825.901,200805,27221.14742,200805,5340.28392
200804,146983.02391,200804,63046.09796,200804,57332.716,200804,22233.93205,200804,5225.28203
200803,160743.24304,200803,62170.57985,200803,64716.468,200803,21668.93847,200803,4782.01995
200802,166666.35479,200802,60042.0118,200802,65130.385,200802,18788.8861,200802,3851.7487
200801,182875.5043,200801,72599.9011,200801,70734.57,200801,20779.13078,200801,4273.1854
200712,173829.86553,200712,66807.82797,200712,71982.726,200712,18341.67452,200712,3490.23188
200711,159382.45455,200711,60636.79925,200711,64899.278,200711,15682.053,200711,3095.03643
200710,162234.35613,200710,78358.02381,200710,61689.542,200710,14796.43375,200710,3376.54028
200709,169391.27283,200709,88531.61471,200709,67578.578,200709,14742.53418,200709,2866.72155
200708,190134.81633,200708,121338.42663,200708,72750.91,200708,19940.55104,200708,2699.36469
200707,185053.78761,200707,97482.67572,200707,72738.535,200707,22477.76053,200707,2158.37244
200706,173512.88404,200706,81511.45079,200706,68923.074,200706,22816.60812,200706,2620.41645
