"Series Key",ELEC.PRICE.US-ALL.M,"Series Key",ELEC.PRICE.US-RES.M,"Series Key",ELEC.PRICE.US-COM.M,"Series Key",ELEC.PRICE.US-IND.M
"Series Name","Average retail price of electricity : United States : all sectors : monthly","Series Name","Average retail price of electricity : United States : residential : monthly","Series Name","Average retail price of electricity : United States : commercial : monthly","Series Name","Average retail price of electricity : United States : industrial : monthly"
Units,"cents per kilowatthour",Units,"cents per kilowatthour",Units,"cents per kilowatthour",Units,"cents per kilowatthour"
Frequency,M,Frequency,M,Frequency,M,Frequency,M
"Start Date",200101,"Start Date",200101,"Start Date",200101,"Start Date",200101
"End Date",202009,"End Date",202009,"End Date",202009,"End Date",202009
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

200703,8.8,200703,10.27,200703,9.35,200703,6.22
200702,8.74,200702,9.89,200702,9.34,200702,6.16
200701,8.71,200701,10.06,200701,9.12,200701,6.13
200612,8.55,200612,9.84,200612,9.08,200612,6
200611,8.63,200611,10.18,200611,9.24,200611,6.04
200610,8.89,200610,10.58,200610,9.51,200610,6.16
200609,9.32,200609,10.94,200609,9.89,200609,6.37
200608,9.58,200608,10.94,200608,10.04,200608,6.65
200607,9.55,200607,10.96,200607,9.97,200607,6.61
200606,9.3,200606,10.85,200606,9.88,200606,6.41
200605,8.71,200605,10.61,200605,9.22,200605,6
200604,8.56,200604,10.32,200604,9.17,200604,5.93
200603,8.44,200603,9.87,200603,9.06,200603,5.88
200602,8.49,200602,9.8,200602,9.14,200602,5.98
200601,8.31,200601,9.55,200601,8.87,200601,5.78
200512,8.21,200512,9.27,200512,8.79,200512,5.94
200511,8.21,200511,9.76,200511,8.79,200511,5.83
200510,8.37,200510,9.76,200510,8.91,200510,6.03
200509,8.68,200509,9.94,200509,9.18,200509,6.17
200508,8.71,200508,9.93,200508,9.1,200508,6.2
200507,8.6,200507,9.77,200507,9,200507,6.14
200506,8.38,200506,9.79,200506,8.89,200506,5.86
200505,7.84,200505,9.56,200505,8.41,200505,5.42
200504,7.65,200504,9.22,200504,8.25,200504,5.31
200503,7.59,200503,8.87,200503,8.15,200503,5.3
200502,7.58,200502,8.76,200502,8.19,200502,5.26
200501,7.47,200501,8.52,200501,7.99,200501,5.23
200412,7.36,200412,8.58,200412,7.82,200412,5.14
200411,7.42,200411,8.96,200411,8.04,200411,5.09
200410,7.6,200410,9.05,200410,8.23,200410,5.25
200409,7.97,200409,9.39,200409,8.54,200409,5.41
200408,8.18,200408,9.5,200408,8.7,200408,5.65
200407,8.11,200407,9.36,200407,8.63,200407,5.63
200406,7.93,200406,9.29,200406,8.49,200406,5.46
200405,7.46,200405,9.07,200405,7.99,200405,5.18
200404,7.34,200404,8.93,200404,7.89,200404,5.09
200403,7.3,200403,8.62,200403,7.92,200403,5.04
200402,7.25,200402,8.33,200402,7.85,200402,5.04
200401,7.22,200401,8.24,200401,7.7,200401,5.01
200312,7.14,200312,8.3,200312,7.7,200312,4.87
200311,7.19,200311,8.72,200311,7.85,200311,4.86
200310,7.39,200310,8.85,200310,8.09,200310,5.07
200309,7.61,200309,8.92,200309,8.15,200309,5.19
200308,7.97,200308,9.22,200308,8.46,200308,5.48
200307,8.02,200307,9.21,200307,8.55,200307,5.54
200306,7.78,200306,9.25,200306,8.44,200306,5.28
200305,7.42,200305,8.99,200305,8.06,200305,5.06
200304,7.27,200304,8.82,200304,7.93,200304,4.99
200303,7.16,200303,8.35,200303,7.78,200303,5.02
200302,7.05,200302,8.02,200302,7.65,200302,4.99
200301,7,200301,8,200301,7.45,200301,4.92
200212,6.96,200212,8.08,200212,7.59,200212,4.72
200211,6.94,200211,8.31,200211,7.64,200211,4.71
200210,7.2,200210,8.47,200210,8,200210,4.91
